province,sex,age_group,population,source,country_iso3
Chaharmahal & Bakhtiyari,Female,45-49,25874,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Male,50-54,21667,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Female,50-54,20855,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Male,55-59,17714,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Female,55-59,17296,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Male,60-64,13474,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Female,60-64,14120,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Male,65-69,9056,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Female,65-69,10600,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Male,70-74,5364,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Female,70-74,6251,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Male,75-79,5269,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Female,75-79,5005,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Male,80-84,4140,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Female,80-84,3379,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Male,85-89,2332,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Female,85-89,1916,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Male,90-94,702,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Female,90-94,551,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Male,95-99,75,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Female,95-99,93,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Male,100 and over,19,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Chaharmahal & Bakhtiyari,Female,100 and over,28,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Both,All Ages,3909652,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,All Ages,1989400,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,All Ages,1920252,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,0-4,166096,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,0-4,154760,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,5-9,156081,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,5-9,147170,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,10-14,138270,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,10-14,131617,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,15-19,135230,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,15-19,124167,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,20-24,148894,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,20-24,139899,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,25-29,189819,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,25-29,179808,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,30-34,199811,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,30-34,196308,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,35-39,179143,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,35-39,175472,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,40-44,148364,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,40-44,143775,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,45-49,128764,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,45-49,124306,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,50-54,103574,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,50-54,101132,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,55-59,87340,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,55-59,90258,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,60-64,67249,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,60-64,69269,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,65-69,44740,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,65-69,48694,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,70-74,34874,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,70-74,35918,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,75-79,27921,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,75-79,27283,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,80-84,20002,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,80-84,17994,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,85-89,9629,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,85-89,8949,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,90-94,3270,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,90-94,3029,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,95-99,276,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,95-99,370,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Male,100 and over,53,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
East Azarbayejan,Female,100 and over,74,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Esfahan,Both,All Ages,5120850,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Esfahan,Male,All Ages,2599477,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Esfahan,Female,All Ages,2521373,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Esfahan,Male,0-4,206495,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Esfahan,Female,0-4,195409,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Esfahan,Male,5-9,189107,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
Esfahan,Female,5-9,179662,"SCI, 2016 National Population and Housing Census, Population by Age Group, Sex and Province table (Iran Data Portal mirror)",IRN
