chart_id,old_title_fa,new_title_fa,note
wdi__SH_UHC_FH40,سهم جمعیت مواجه با هزینه‌های زیاد (اما غیرفقرزا) پرداخت از جیب برای سلامت (درصد),نسبت جمعیت با مخارج بالای مستقیم سلامت، بدون فقیرسازی,strip-unit: subject-only translation
wdi__SI.DST,سهم افراد زیر 50 درصد میانه درآمد (درصد),نسبت افراد زیر 50 درصد درآمد میانه,strip-unit: subject-only translation
wdi__SI.POV.LMIC,شکاف فقر در سطح 4.20 دلار در روز (برابری قدرت خرید 2021) (درصد),شکاف فقر با آستانه 4.20 دلار در روز (برابری قدرت خرید 2021),strip-unit: subject-only translation
wdi__SI.POV.UMIC,شکاف فقر در سطح 8.30 دلار در روز (برابری قدرت خرید 2021) (درصد),شکاف فقر با آستانه 8.30 دلار در روز (برابری قدرت خرید 2021),strip-unit: subject-only translation
wdi__SI.SPR.PC40,نرخ رشد سالانه میانگین مصرف یا درآمد واقعی سرانه بر پایه بررسی میدانی، 40 درصد پایین جمعیت (درصد),نرخ رشد سالانه سرانه مصرف یا درآمد واقعی، 40 درصد پایین جمعیت,strip-unit: subject-only translation
wdi__SI.SPR.PCAP,نرخ رشد سالانه میانگین مصرف یا درآمد واقعی سرانه بر پایه بررسی میدانی، کل جمعیت (درصد),نرخ رشد سالانه سرانه مصرف یا درآمد واقعی، کل جمعیت,strip-unit: subject-only translation
wdi__SL.EMP.SMGT.FE,سهم زنان از اشتغال در مدیریت ارشد و میانی (درصد),سهم زنان از اشتغال در مدیریت ارشد و میانی,strip-unit: subject-only translation
wdi__SN.ITK.MSFI,شیوع ناامنی غذایی متوسط یا شدید در جمعیت (درصد),شیوع ناامنی غذایی متوسط یا شدید در جمعیت,strip-unit: subject-only translation
wdi__SN.ITK.SVFI,شیوع ناامنی غذایی شدید در جمعیت (درصد),شیوع ناامنی غذایی شدید در جمعیت,strip-unit: subject-only translation
wdi__SP.DYN.AMRT,"نرخ مرگ‌ومیر بزرگسالان، به تفکیک جنسیت (به ازای هر 1,000 بزرگسال)",نرخ مرگ‌ومیر بزرگسالان، به تفکیک جنسیت,strip-unit: subject-only translation
wdi__SP.DYN.CBRT,نرخ خام تولد (به ازای هر 1000 نفر),نرخ خام موالید,strip-unit: subject-only translation
wdi__SP.DYN.CDRT,نرخ خام مرگ‌ومیر (به ازای هر 1000 نفر),نرخ خام مرگ‌ومیر,strip-unit: subject-only translation
wdi__SP.DYN.IMRT,نرخ مرگ‌ومیر نوزادان (به ازای هر 1000 تولد زنده),نرخ مرگ‌ومیر نوزادان,strip-unit: subject-only translation
wdi__SP.DYN.IMRT.FE,نرخ مرگ‌ومیر نوزادان، دختران (به ازای هر 1000 تولد زنده),نرخ مرگ‌ومیر نوزادان، دختر,strip-unit: subject-only translation
wdi__SP.DYN.LE00,امید به زندگی در بدو تولد، کل (سال),امید به زندگی در بدو تولد,strip-unit: subject-only translation
wdi__SP.DYN.LE00.FE,امید به زندگی در بدو تولد، زنان (سال),امید به زندگی در بدو تولد، زنان,strip-unit: subject-only translation
wdi__SP.DYN.LE00.MA,امید به زندگی در بدو تولد، مردان (سال),امید به زندگی در بدو تولد، مردان,strip-unit: subject-only translation
wdi__SP.POP.SCIE.RD,پژوهشگران در تحقیق و توسعه (به ازای هر یک میلیون نفر),پژوهشگران تحقیق و توسعه,strip-unit: subject-only translation
wdi__SP.POP.TECH.RD,فن‌آوران در تحقیق و توسعه (به ازای هر یک میلیون نفر),تکنسین‌های تحقیق و توسعه,strip-unit: subject-only translation
wdi__SP.REG.BRTH,کامل‌بودن ثبت ولادت (درصد),کامل بودن ثبت ولادت,strip-unit: subject-only translation
wdi__SP.REG.BRTH.FE,کامل‌بودن ثبت ولادت، دختران (درصد),کامل بودن ثبت ولادت، زنان,strip-unit: subject-only translation
wdi__SP.REG.BRTH.MA,کامل‌بودن ثبت ولادت، پسران (درصد),کامل بودن ثبت ولادت، مردان,strip-unit: subject-only translation
wdi__SP.REG.DTHS,کامل‌بودن ثبت مرگ همراه با اطلاعات علت مرگ (درصد),کامل بودن ثبت مرگ همراه با علت فوت,strip-unit: subject-only translation
wdi__SP.RUR.TOTL,رشد جمعیت روستایی (درصد سالانه),رشد جمعیت روستایی,strip-unit: subject-only translation
wdi__ST.INT.RCPT,گردشگری بین‌المللی، درآمدها (دلار جاری آمریکا),درآمد گردشگری بین‌المللی,strip-unit: subject-only translation
wdi__ST.INT.TRNR,گردشگری بین‌المللی، درآمدهای حمل‌ونقل مسافر (دلار جاری آمریکا),درآمد گردشگری بین‌المللی، حمل‌ونقل مسافر,strip-unit: subject-only translation
wdi__ST.INT.TRNX,گردشگری بین‌المللی، هزینه‌های حمل‌ونقل مسافر (دلار جاری آمریکا),مخارج گردشگری بین‌المللی، حمل‌ونقل مسافر,strip-unit: subject-only translation
wdi__ST.INT.TVLR,گردشگری بین‌المللی، درآمدهای اقلام سفر (دلار جاری آمریکا),درآمد گردشگری بین‌المللی، اقلام سفر,strip-unit: subject-only translation
wdi__ST.INT.TVLX,گردشگری بین‌المللی، هزینه‌های اقلام سفر (دلار جاری آمریکا),مخارج گردشگری بین‌المللی، اقلام سفر,strip-unit: subject-only translation
wdi__ST.INT.XPND,گردشگری بین‌المللی، هزینه‌ها (دلار جاری آمریکا),مخارج گردشگری بین‌المللی,strip-unit: subject-only translation
wdi__TM.QTY.MRCH.XD,شاخص حجم واردات (2015 = 100),شاخص حجم واردات,strip-unit: subject-only translation
wdi__TM.TAX.MANF.SM.AR,نرخ تعرفه، اعمال‌شده، میانگین ساده، محصولات صنعتی (درصد),نرخ تعرفه اعمال‌شده، میانگین ساده، محصولات صنعتی,strip-unit: subject-only translation
wdi__TM.TAX.MANF.SM.FN,نرخ تعرفه، دولت کامله‌الوداد، میانگین ساده، محصولات صنعتی (درصد),نرخ تعرفه دولت کامله‌الوداد، میانگین ساده، محصولات صنعتی,strip-unit: subject-only translation
wdi__TM.TAX.MANF.WM.AR,نرخ تعرفه، اعمال‌شده، میانگین وزنی، محصولات صنعتی (درصد),نرخ تعرفه اعمال‌شده، میانگین وزنی، محصولات صنعتی,strip-unit: subject-only translation
wdi__TM.TAX.MANF.WM.FN,نرخ تعرفه، دولت کامله‌الوداد، میانگین وزنی، محصولات صنعتی (درصد),نرخ تعرفه دولت کامله‌الوداد، میانگین وزنی، محصولات صنعتی,strip-unit: subject-only translation
wdi__TM.TAX.MRCH.SM.AR,نرخ تعرفه، اعمال‌شده، میانگین ساده، همه محصولات (درصد),نرخ تعرفه اعمال‌شده، میانگین ساده، همه محصولات,strip-unit: subject-only translation
wdi__TM.TAX.MRCH.SM.FN,نرخ تعرفه، دولت کامله‌الوداد، میانگین ساده، همه محصولات (درصد),نرخ تعرفه دولت کامله‌الوداد، میانگین ساده، همه محصولات,strip-unit: subject-only translation
wdi__TM.TAX.MRCH.WM.AR,نرخ تعرفه، اعمال‌شده، میانگین وزنی، همه محصولات (درصد),نرخ تعرفه اعمال‌شده، میانگین وزنی، همه محصولات,strip-unit: subject-only translation
wdi__TM.TAX.MRCH.WM.FN,نرخ تعرفه، دولت کامله‌الوداد، میانگین وزنی، همه محصولات (درصد),نرخ تعرفه دولت کامله‌الوداد، میانگین وزنی، همه محصولات,strip-unit: subject-only translation
wdi__TM.TAX.TCOM.SM.AR,نرخ تعرفه، اعمال‌شده، میانگین ساده، محصولات اولیه (درصد),نرخ تعرفه اعمال‌شده، میانگین ساده، محصولات اولیه,strip-unit: subject-only translation
wdi__TM.TAX.TCOM.SM.FN,نرخ تعرفه، دولت کامله‌الوداد، میانگین ساده، محصولات اولیه (درصد),نرخ تعرفه دولت کامله‌الوداد، میانگین ساده، محصولات اولیه,strip-unit: subject-only translation
wdi__TM.TAX.TCOM.WM.AR,نرخ تعرفه، اعمال‌شده، میانگین وزنی، محصولات اولیه (درصد),نرخ تعرفه اعمال‌شده، میانگین وزنی، محصولات اولیه,strip-unit: subject-only translation
wdi__TM.TAX.TCOM.WM.FN,نرخ تعرفه، دولت کامله‌الوداد، میانگین وزنی، محصولات اولیه (درصد),نرخ تعرفه دولت کامله‌الوداد، میانگین وزنی، محصولات اولیه,strip-unit: subject-only translation
wdi__TM.UVI.MRCH.XD,شاخص ارزش واحد واردات (2015 = 100),شاخص ارزش واحد وارداتی,strip-unit: subject-only translation
wdi__TM.VAL.ICTG.ZS,واردات کالاهای فناوری اطلاعات و ارتباطات (درصد از کل واردات کالا),واردات کالاهای فناوری اطلاعات و ارتباطات,strip-unit: subject-only translation
wdi__TM.VAL.MRCH.CD,واردات کالا (دلار جاری آمریکا),واردات کالا,strip-unit: subject-only translation
wdi__TM.VAL.MRCH.WL,واردات کالا توسط اقتصاد گزارش‌دهنده (دلار جاری آمریکا),واردات کالا توسط اقتصاد گزارش‌دهنده,strip-unit: subject-only translation
wdi__TM.VAL.MRCH.XD,شاخص ارزش واردات (2015 = 100),شاخص ارزش واردات,strip-unit: subject-only translation
wdi__TM.VAL.SERV.CD,واردات خدمات تجاری (دلار جاری آمریکا),واردات خدمات تجاری,strip-unit: subject-only translation
wdi__TT.PRI.MRCH.XD,شاخص شرایط مبادله کالایی خالص (2015 = 100),شاخص خالص شرایط مبادله تجاری,strip-unit: subject-only translation
wdi__TX.MNF.TECH.ZS,صادرات با فناوری متوسط و بالا (درصد از صادرات کالاهای ساخته‌شده),صادرات با فناوری متوسط و بالا,strip-unit: subject-only translation
wdi__TX.QTY.MRCH.XD,شاخص حجم صادرات (2015 = 100),شاخص حجم صادرات,strip-unit: subject-only translation
wdi__TX.UVI.MRCH.XD,شاخص ارزش واحد صادرات (2015 = 100),شاخص ارزش واحد صادراتی,strip-unit: subject-only translation
wdi__TX.VAL.MRCH.CD,صادرات کالا (دلار جاری آمریکا),صادرات کالا,strip-unit: subject-only translation
wdi__TX.VAL.MRCH.WL,صادرات کالا توسط اقتصاد گزارش‌دهنده (دلار جاری آمریکا),صادرات کالا توسط اقتصاد گزارش‌دهنده,strip-unit: subject-only translation
wdi__TX.VAL.MRCH.XD,شاخص ارزش صادرات (2015 = 100),شاخص ارزش صادرات,strip-unit: subject-only translation
wdi__TX.VAL.SERV.CD,صادرات خدمات تجاری (دلار جاری آمریکا),صادرات خدمات تجاری,strip-unit: subject-only translation
wdi__TX.VAL.TECH,صادرات با فناوری بالا (دلار جاری آمریکا),صادرات با فناوری برتر,strip-unit: subject-only translation
wdi__VC.IHR.PSRC,قتل‌های عمدی (به ازای هر 100000 نفر),قتل عمد,strip-unit: subject-only translation
