Average expenses and percentage distribution	Expenditure quintile	Expenditure codes (2 digits)	Period	Total
Average expenditure per household	Quintile 1	10 Education	2017	82.01
Average expenditure per household	Quintile 1	10 Education	2016	78.96
Average expenditure per household	Quintile 1	10 Education	2015	75.76
Average expenditure per household	Quintile 1	10 Education	2014	69.98
Average expenditure per household	Quintile 1	10 Education	2013	75.22
Average expenditure per household	Quintile 1	10 Education	2012	62.75
Average expenditure per household	Quintile 1	10 Education	2011	57.95
Average expenditure per household	Quintile 1	10 Education	2010	65.29
Average expenditure per household	Quintile 1	10 Education	2009	62.10
Average expenditure per household	Quintile 1	10 Education	2008	57.19
Average expenditure per household	Quintile 1	10 Education	2007	50.30
Average expenditure per household	Quintile 1	10 Education	2006	33.41
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2023	792.18
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2022	758.06
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2021	562.88
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2020	431.16
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2019	799.50
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2018	766.31
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2017	811.08
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2016	743.59
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2015	683.30
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2014	614.59
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2013	619.79
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2012	715.93
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2011	786.44
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2010	822.91
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2009	885.47
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2008	992.68
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2007	954.73
Average expenditure per household	Quintile 1	11 Restaurants and hotels	2006	877.49
Average expenditure per household	Quintile 1	12 Other goods and services	2023	1,103.10
Average expenditure per household	Quintile 1	12 Other goods and services	2022	1,110.83
Average expenditure per household	Quintile 1	12 Other goods and services	2021	1,078.50
Average expenditure per household	Quintile 1	12 Other goods and services	2020	973.68
Average expenditure per household	Quintile 1	12 Other goods and services	2019	993.93
Average expenditure per household	Quintile 1	12 Other goods and services	2018	979.69
Average expenditure per household	Quintile 1	12 Other goods and services	2017	974.97
Average expenditure per household	Quintile 1	12 Other goods and services	2016	923.30
Average expenditure per household	Quintile 1	12 Other goods and services	2015	839.92
Average expenditure per household	Quintile 1	12 Other goods and services	2014	812.34
Average expenditure per household	Quintile 1	12 Other goods and services	2013	831.32
Average expenditure per household	Quintile 1	12 Other goods and services	2012	869.47
Average expenditure per household	Quintile 1	12 Other goods and services	2011	896.02
Average expenditure per household	Quintile 1	12 Other goods and services	2010	879.90
Average expenditure per household	Quintile 1	12 Other goods and services	2009	929.50
Average expenditure per household	Quintile 1	12 Other goods and services	2008	925.22
Average expenditure per household	Quintile 1	12 Other goods and services	2007	831.41
Average expenditure per household	Quintile 1	12 Other goods and services	2006	751.58
Average expenditure per household	Quintile 2	Overall index	2023	23,142.99
Average expenditure per household	Quintile 2	Overall index	2022	22,322.55
Average expenditure per household	Quintile 2	Overall index	2021	20,709.06
Average expenditure per household	Quintile 2	Overall index	2020	19,161.27
Average expenditure per household	Quintile 2	Overall index	2019	20,926.84
Average expenditure per household	Quintile 2	Overall index	2018	20,609.07
Average expenditure per household	Quintile 2	Overall index	2017	20,316.08
Average expenditure per household	Quintile 2	Overall index	2016	19,734.90
Average expenditure per household	Quintile 2	Overall index	2015	19,031.41
Average expenditure per household	Quintile 2	Overall index	2014	18,873.76
Average expenditure per household	Quintile 2	Overall index	2013	19,203.59
Average expenditure per household	Quintile 2	Overall index	2012	19,839.60
Average expenditure per household	Quintile 2	Overall index	2011	20,350.00
Average expenditure per household	Quintile 2	Overall index	2010	20,483.66
Average expenditure per household	Quintile 2	Overall index	2009	21,231.93
Average expenditure per household	Quintile 2	Overall index	2008	21,960.25
Average expenditure per household	Quintile 2	Overall index	2007	21,587.45
Average expenditure per household	Quintile 2	Overall index	2006	19,959.86
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2023	4,671.80
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2022	4,345.77
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2021	4,191.64
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2020	4,110.20
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2019	3,779.93
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2018	3,768.19
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2017	3,655.57
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2016	3,692.06
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2015	3,607.75
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2014	3,550.01
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2013	3,675.03
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2012	3,663.78
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2011	3,744.08
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2010	3,743.20
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2009	3,932.61
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2008	4,152.20
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2007	4,030.13
Average expenditure per household	Quintile 2	01 Food and non-alcoholic beverages	2006	3,818.81
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2023	392.50
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2022	350.72
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2021	389.63
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2020	397.52
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2019	433.09
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2018	433.12
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2017	487.90
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2016	478.11
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2015	453.76
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2014	443.33
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2013	467.76
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2012	517.86
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2011	533.39
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2010	571.34
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2009	570.90
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2008	554.23
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2007	549.37
Average expenditure per household	Quintile 2	02 Alcoholic beverages and tobacco	2006	506.01
Average expenditure per household	Quintile 2	03 Clothing and footwear	2023	920.53
Average expenditure per household	Quintile 2	03 Clothing and footwear	2022	874.99
Average expenditure per household	Quintile 2	03 Clothing and footwear	2021	766.13
Average expenditure per household	Quintile 2	03 Clothing and footwear	2020	588.65
Average expenditure per household	Quintile 2	03 Clothing and footwear	2019	911.36
Average expenditure per household	Quintile 2	03 Clothing and footwear	2018	936.17
Average expenditure per household	Quintile 2	03 Clothing and footwear	2017	927.15
