Type of data	Macroeconomic aggregates: Nivel 1	Macroeconomic aggregates: Nivel 2	Levels and rates	Period	Total
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2010QIV	0.5571
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2010QIII	0.4437
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2010QII	0.5109
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2010QI	-0.2753
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2009QIV	-2.8758
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2009QIII	-3.4499
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2009QII	-4.5627
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2009QI	-3.6042
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2008QIV	0.3845
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2008QIII	3.4283
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2008QII	4.5223
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2008QI	4.5354
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2007QIV	7.2564
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2007QIII	6.4768
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2007QII	7.2992
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2007QI	7.5400
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2006QIV	8.2710
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2006QIII	8.0960
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2006QII	8.1516
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2006QI	8.4719
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2005QIV	7.8346
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2005QIII	7.7050
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2005QII	8.2572
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2005QI	7.8062
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2004QIV	7.5229
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2004QIII	7.1076
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2004QII	7.0645
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2004QI	6.7701
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2003QIV	6.8669
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2003QIII	7.0609
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2003QII	6.8536
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2003QI	7.3799
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2002QIV	6.7145
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2002QIII	6.7165
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2002QII	7.5423
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2002QI	6.7307
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2001QIV	8.0059
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2001QIII	8.1777
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2001QII	8.3342
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2001QI	8.3101
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2000QIV	8.3694
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2000QIII	8.9336
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2000QII	8.7038
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	2000QI	9.0393
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1999QIV	6.6055
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1999QIII	6.9566
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1999QII	7.0153
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1999QI	8.1009
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1998QIV	6.7001
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1998QIII	7.3017
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1998QII	7.3104
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1998QI	7.0052
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1997QIV	7.4765
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1997QIII	5.8257
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1997QII	5.8279
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1997QI	5.3223
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1996QIV	6.1891
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1996QIII	6.9183
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1996QII	5.7042
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1996QI	6.0560
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1995QIV	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1995QIII	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1995QII	""
Seasonally and calendar unadjusted data	Gross domestic product at market prices		Annual variation	1995QI	""
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2025QIV	""
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2025QIII	""
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2025QII	""
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2025QI	""
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2024QIV	""
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2024QIII	""
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2024QII	8,038
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2024QI	7,978
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2023QIV	12,072
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2023QIII	6,313
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2023QII	7,934
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2023QI	7,921
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2022QIV	11,965
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2022QIII	6,072
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2022QII	7,115
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2022QI	6,331
Seasonally and calendar unadjusted data	GVAbp Agriculture, forestry, livestock and fishing  (A, NACE Rev.2)		Base data	2021QIV	11,667
