"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,

"2. Population by sex, residence, and intercensal rates of increase for total population, each census: 1948-1997",,,,,,,,,,,,,,,,,,
"Population selon le sexe, résidence et taux d'accroissement intercensitaire pour la population totale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,

"Continent, country or area and date",,,Source[a],Enumerated population,,,,,,Annual rate,,Urban population,,,,Rural population,,
,,31 III 1948,Cdj,6905155,,3349279,,3555876,,[...],,[...],,[...],,[...],,[...] 
,,31 III 1953,Cdj,7399027,,3613252,,3785775,,1.4,,[...],,[...],,[...],,[...] 
,,31 III 1961,Cdj,8114121,,3986711,,4127410,,1.2,,[...],,[...],,[...],,[...] 
,,31 III 1971,Cdj,8976195,,4432944,,4543251,,1,,[...],,[...],,[...],,[...] 
,,31 III 1981,Cdj,9897986,,4919066,,4978920,,1,,[...],,[...],,[...],,[...] 
,,31 III 1991,Cdf,10394026,,5157120,,5236906,,[...],,5321364,,51.2,,5072662,,48.8
OCEANIA - OCEANIE,,,,,,,,,,,,,,,,,,
,American Samoa - Samoa américaines [28],,,,,,,,,,,,,,,,,
,,1 IV 1950,Cdj,18937,,9818,,9119,,[...],,[...],,[...],,[...],,[...] 
,,25 IX 1956,Cdj,20154,,10107,,10047,,1,,[...],,[...],,[...],,[...] 
,,1 IV 1960,Cdj,20051,,10164,,9887,,-0.1,,[...],,[...],,[...],,[...] 
,,1 IV 1970,Cdj,27159,,13682,,13477,,3,,[...],,[...],,[...],,[...] 
,,25 IX 1974,Cdj,29190,,14747,,14443,,1.8,,[...],,[...],,[...],,[...] 
,,1 IV 1980,Cdj,32297,,16384,,15913,,1.7,,5660,,17.5,,26637,,82.5
,,1 IV 1990,Cdj,46773,,24023,,22750,,3.7,,15599,,33.4,,31174,,66.6
,Australia - Australie [83],,,,,,,,,,,,,,,,,
,,30 VI 1954,Cdf,8986530,,4546118,,4440412,,[...],,[...],,[...],,[...],,[...] 
,,30 VI 1961,Cdf,10508186,,5312252,,5195934,,2.2,,[...],,[...],,[...],,[...] 
,,30 VI 1966,Cdf,11550462,,5816359,,5734103,,1.9,,[...],,[...],,[...],,[...] 
,,30 VI 1971,Cdf,12755638,,6412711,,6342927,,2,,10913451,,85.6,,1842187,,14.4
,,30 VI 1976,Cdf,13548448,,6774948,,6773500,,1.2,,11650474,,86,,1897974,,14
,,30 VI 1981,Cdf,14576330,,7267076,,7309254,,1.5,,12492970,,85.7,,2083360,,14.3
,,30 VI 1986,Cdf,15602156,,7768313,,7833843,,1.4,,13316945,,85.4,,2285211,,14.6
,,6 VIII 1991,Cdf,16850540,,8362815,,8487725,,1.5,,[...],,[...],,[...],,[...] 
,Christmas Islands - Iles Christmas,,,,,,,,,,,,,,,,,
,,17 VI 1957,Cdf,2619,,1674,,945,,[...],,[...],,[...],,[...],,[...] 
,,30 VI 1961,Cdf,3099,,1963,,1136,,4.2,,[...],,[...],,[...],,[...] 
,,30 VI 1966,Cdf,3391,,2158,,1233,,1.8,,[...],,[...],,[...],,[...] 
,,30 VI 1971,Cdf,2691,,1732,,959,,-4.6,,[...],,[...],,[...],,[...] 
,,30 VI 1981,Cdf,2871,,1918,,953,,0.6,,[...],,[...],,[...],,[...] 
,Cocos (Keeling) Islands - Iles des Cocos,,,,,,,,,,,,,,,,,
,,30 VI 1961,Cdf,606,,333,,273,,[...],,[...],,[...],,[...],,[...] 
,,30 VI 1966,Cdf,684,,375,,309,,2.4,,[...],,[...],,[...],,[...] 
,,30 VI 1971,Cdf,618,,312,,306,,-2,,[...],,[...],,[...],,[...] 
,,30 VI 1981,Cdf,555,,298,,257,,-1.1,,[...],,[...],,[...],,[...] 
,Cook Islands - Iles Cook,,,,,,,,,,,,,,,,,
,,25 IX 1951,Cdf,15079,,7827,,7252,,[...],,[...],,[...],,[...],,[...] 
,,25 IX 1956,Cdf,16680,,8695,,7985,,2,,[...],,[...],,[...],,[...] 
,,25 IX 1961,Cdf,18378,,9454,,8924,,1.9,,[...],,[...],,[...],,[...] 
,,1 IX 1966,Cdf,19247,,9749,,9498,,0.9,,[...],,[...],,[...],,[...] 
,,1 XII 1971,Cdf,21322,,10909,,10413,,2,,[...],,[...],,[...],,[...] 
,,1 XII 1976,Cdf,18128,,9294,,8834,,-3.2,,[...],,[...],,[...],,[...] 
,,1 XII 1981,Cdf,17754,,9172,,8582,,-0.4,,9530,,53.7,,8224,,46.3
,,1 XII 1986,Cdf,17614,,9188,,8426,,-0.2,,[...],,[...],,[...],,[...] 
,,1 XII 1991,Cdf,18617,,[...],,[...],,1.1,,[...],,[...],,[...],,[...] 
,Fiji - Fidji,,,,,,,,,,,,,,,,,
,,27 IX 1956,Cdf,345737,,178475,,167262,,[...],,63309,,18.3,,282428,,81.7
,,12 IX 1966,Cdf,476727,,242747,,233980,,3.2,,159259,,33.4,,317468,,66.6
,,13 IX 1976,Cdf,588068,,296950,,291118,,2.1,,218495,,37.2,,369573,,62.8
,,31 VIII 1986,Cdf,715375,,362568,,352807,,2,,277025,,38.7,,438350,,61.3
,,25 VIII 1996,Cdf,775077,,393931,,381146,,0.8,,[...],,[...],,[...],,[...] 
,French Polynesia - Polynésie francaise,,,,,,,,,,,,,,,,,
,,17 IX 1951,Cdf,61469,,32086,,29383,,[...],,[...],,[...],,[...],,[...] 
,,13 XII 1956,Cdf,75127,,38688,,36439,,4,,[...],,[...],,[...],,[...] 
,,9 XI 1962,Cdf,84551,,43370,,41181,,2,,[...],,[...],,[...],,[...] 
,,9 XI 1967,Sdf,98378,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,8 II 1971,Cdf,119168,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,29 IV 1977,Cdf,137382,,[...],,[...],,2.4,,[...],,[...],,[...],,[...] 
,,15 X 1983,Cdf,166753,,[...],,[...],,3.2,,[...],,[...],,[...],,[...] 
,,6 IX 1988,Cdf,188814,,98345,,90469,,2.5,,[...],,[...],,[...],,[...] 
,,3 IX 1996,Cdf,219521,,[...],,[...],,1.9,,[...],,[...],,[...],,[...] 
,Guam [28],,,,,,,,,,,,,,,,,
,,1 IV 1950,Cdj,59498,,40485,,19013,,[...],,[...],,[...],,[...],,[...] 
,,1 IV 1960,Cdj,67044,,39211,,27833,,1.2,,[...],,[...],,[...],,[...] 
,,1 IV 1970,Cdj,84996,,47362,,37634,,2.4,,21671,,25.5,,63325,,74.5
,,1 IV 1980,Cdj,105979,,55321,,50658,,2.2,,41875,,39.5,,64104,,60.5
,,1 IV 1990,Cdj,133152,,70945,,62207,,2.3,,50801,,38.2,,82351,,61.8
,Kiribati [84],,,,,,,,,,,,,,,,,
,,30 IV 1963,Cdf,48780,,23927,,24853,,[...],,[...],,[...],,[...],,[...] 
,,6 XII 1968,Cdf,53517,,26404,,27113,,1.9,,12808,,23.9,,40709,,76.1
,,8 XII 1973,Cdf,57813,,28333,,29480,,1.5,,14861,,25.7,,42952,,74.3
,,12 XII 1978,Cdf,56213,,27726,,28487,,-0.6,,[...],,[...],,[...],,[...] 
,,9 V 1985,Cdf,63883,,[...],,[...],,1.8,,[...],,[...],,[...],,[...] 
,,7 XI 1990,Cdf,72335,,35770,,36565,,2.5,,[...],,[...],,[...],,[...] 
,Marshall Islands - Iles Marshall,,,,,,,,,,,,,,,,,
,,15 IX 1980,Cdf,30873,,15851,,15022,,[...],,[...],,[...],,[...],,[...] 
,,13 XI 1988,Cdf,43380,,22181,,21199,,4.3,,[...],,[...],,[...],,[...] 
,Micronesia - Micronésie,,,,,,,,,,,,,,,,,
,,1985,Cdf,100749,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,18 IX 1994,Cdf,105506,,53923,,51583,,0.5,,[...],,[...],,[...],,[...] 
,Nauru,,,,,,,,,,,,,,,,,
,,30 VI 1961,Cdf,4613,,3019,,1594,,[...],,[...],,[...],,[...],,[...] 
,,30 VI 1966,Cdf,6057,,3703,,2354,,5.4,,[...],,[...],,[...],,[...] 
,,22 I 1977,Cdf,7254,,[...],,[...],,1.6,,[...],,[...],,[...],,[...] 
,,17 IV 1992,Cdf,9919,,[...],,[...],,2.1,,[...],,[...],,[...],,[...] 
,New Caledonia - Nouvelle-Calédonie,,,,,,,,,,,,,,,,,
,,6 XII 1956,Cdf,68480,,36058,,32422,,[...],,[...],,[...],,[...],,[...] 
,,2 V 1963,Cdf,86519,,45640,,40879,,3.3,,34990,,40.4,,51529,,59.6
,,11 III 1969,Cdf,100579,,52591,,47988,,2.5,,[...],,[...],,[...],,[...] 
,,23 IV 1976,Cdf,133233,,69300,,63933,,4,,80901,,60.7,,52332,,39.3
,,15 IV 1983,Cdf,145368,,74285,,71083,,1.2,,60112,,41.4,,85256,,58.6
,,4 IV 1989,Cdf,164173,,83862,,80311,,2,,97581,,59.4,,66592,,40.6
,New Zealand - Nouvelle-Zélande [85],,,,,,,,,,,,,,,,,
,,17 IV 1951,Cdf,1939472,,973968,,965504,,[...],,1070848,,55.2,,868624,,44.8
,,17 IV 1956,Cdf,2174062,,1093211,,1080851,,2.3,,1197183,,55.1,,976879,,44.9
,,18 IV 1961,Cdf,2414984,,1213376,,1201608,,2.1,,[...],,[...],,[...],,[...] 
,,22 III 1966,Cdf,2676919,,1343743,,1333176,,2.1,,1829519,,68.3,,847400,,31.7
,,23 III 1971,Cdf,2862631,,1430856,,1431775,,1.3,,2328876,,81.4,,533755,,18.6
,,23 III 1976,Cdf,3129383,,1562042,,1567341,,1.8,,[...],,[...],,[...],,[...] 
,,24 III 1981,Cdf,3175737,,1578927,,1596810,,0.3,,2650904,,83.5,,524833,,16.5
,,4 III 1986,Cdf,3307083,,1638354,,1668729,,0.8,,[...],,[...],,[...],,[...] 
,,5 III 1991,Cdf,3434949,,1693050,,1741899,,0.8,,2916381,,84.9,,518568,,15.1
,,5 III 1996,Cdf,3618303,,1777464,,1840839,,1,,[...],,[...],,[...],,[...] 
,Niue - Nioué,,,,,,,,,,,,,,,,,
,,27 IX 1951,Cdf,4553,,2231,,2322,,[...],,[...],,[...],,[...],,[...] 
,,25 IX 1956,Cdf,4707,,2279,,2428,,0.7,,[...],,[...],,[...],,[...] 
,,25 IX 1961,Cdf,4864,,2404,,2460,,0.7,,[...],,[...],,[...],,[...] 
,,28 IX 1966,Cdf,5194,,2533,,2661,,1.3,,[...],,[...],,[...],,[...] 
,,28 IX 1971,Cdf,4990,,2507,,2483,,-0.8,,1045,,20.9,,3945,,79.1
,,29 IX 1976,Cdf,3843,,1928,,1915,,-5.2,,[...],,[...],,[...],,[...] 
,,28 IX 1981,Cdf,3281,,1672,,1609,,-3.2,,[...],,[...],,[...],,[...] 
,,29 X 1986,Cdf,2531,,[...],,[...],,-5.2,,[...],,[...],,[...],,[...] 
,,XI 1991,Cdf,2239,,[...],,[...],,-2.5,,[...],,[...],,[...],,[...] 
,Norfolk Island - Ile Norfolk,,,,,,,,,,,,,,,,,
,,30 VI 1966,Cdf,1147,,563,,584,,[...],,[...],,[...],,[...],,[...] 
,,30 VI 1971,Cdf,1683,,824,,859,,7.7,,[...],,[...],,[...],,[...] 
,,24 X 1978,Cdf,2134,,1008,,1126,,3.4,,[...],,[...],,[...],,[...] 
,,30 VI 1981,Cdf,2175,,1067,,1108,,0.6,,[...],,[...],,[...],,[...] 
,,30 VI 1986,Cdf,2367,,1170,,1197,,1.7,,[...],,[...],,[...],,[...] 
,Northern Mariana Islands - Iles Mariannes du Nord,,,,,,,,,,,,,,,,,
,,1 IV 1980,Cdf,16780,,8817,,7963,,[...],,[...],,[...],,[...],,[...] 
,,1 IV 1990,Cdf,43345,,[...],,[...],,9.5,,[...],,[...],,[...],,[...] 
,Palau - Palaos,,,,,,,,,,,,,,,,,
,,1990,Cdf,15122,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,Papua New Guinea - Papouasie-Nouvelle-Guinée,,,,,,,,,,,,,,,,,
,,20 VI 1966,Cdf,2184986,,1140359,,1044627,,[...],,282694,,12.9,,1902292,,87.1
,,7 VII 1971,Cdf,2489935,,1293890,,1196045,,2.6,,510510,,20.5,,1979425,,79.5
,,22 IX 1980,Cdf,3010727,,1575672,,1435055,,2.1,,393131,,13.1,,2617596,,86.9
,,11 VII 1990,Cdf,3761954,,[...],,[...],,2.2,,[...],,[...],,[...],,[...] 
,Pitcairn,,,,,,,,,,,,,,,,,
,,XII 1971,Cdf,92,,48,,44,,[...],,[...],,[...],,[...],,[...] 
,,31 XII 1991,Cdf,66,,[...],,[...],,-1.7,,[...],,[...],,[...],,[...] 
,Samoa,,,,,,,,,,,,,,,,,
,,25 IX 1951,Cdf,84909,,43790,,41119,,[...],,11840,,13.9,,73069,,86.1
,,25 IX 1956,Cdf,97327,,49863,,47464,,2.7,,18153,,18.7,,79174,,81.3
,,25 IX 1961,Cdf,114427,,58785,,55642,,3.2,,[...],,[...],,[...],,[...] 
,,21 XI 1966,Cdf,131377,,67842,,63535,,2.8,,25480,,19.4,,105897,,80.6
,,3 XI 1971,Cdf,146968,,[...],,[...],,2.2,,[...],,[...],,[...],,[...] 
,,3 XI 1976,Cdf,151983,,78639,,73344,,0.7,,32099,,21.1,,119884,,78.9
,,3 XI 1981,Cdf,156349,,81027,,75322,,0.6,,33170,,21.2,,123179,,78.8
,,IX 1991,Cdf,161298,,[...],,[...],,0.3,,[...],,[...],,[...],,[...] 
,Solomon Islands - Iles Salomon,,,,,,,,,,,,,,,,,
,,9 XI 1959,Cdf,124076,,65532,,58544,,[...],,[...],,[...],,[...],,[...] 
,,7 II 1970,Cdf,160998,,85179,,75819,,2.4,,[...],,[...],,[...],,[...] 
,,7 II 1976,Cdf,196823,,102808,,94015,,3.3,,18000,,9.1,,178823,,90.9
,,23 XI 1986,Cdf,285176,,147972,,137204,,3.7,,[...],,[...],,[...],,[...] 
,Tokelau - Tokélaou,,,,,,,,,,,,,,,,,
,,25 IX 1951,Cdf,1580,,735,,845,,[...],,[...],,[...],,[...],,[...] 
,,25 IX 1956,Cdf,1619,,738,,881,,0.5,,[...],,[...],,[...],,[...] 
,,25 IX 1961,Cdf,1870,,874,,996,,2.9,,[...],,[...],,[...],,[...] 
,,24 IX 1966,Cdf,1900,,892,,1008,,0.3,,[...],,[...],,[...],,[...] 
,,21 II 1972,Cdf,1599,,737,,862,,-2.9,,[...],,[...],,[...],,[...] 
,,25 X 1976,Cdf,1575,,747,,828,,-0.4,,[...],,[...],,[...],,[...] 
,,1 X 1982,Cdf,1552,,751,,801,,-0.2,,[...],,[...],,[...],,[...] 
,,1991,Cdf,1577,,[...],,[...],,0.2,,[...],,[...],,[...],,[...] 
,Tonga,,,,,,,,,,,,,,,,,
,,26 IX 1956,Cdf,55156,,28021,,27135,,[...],,[...],,[...],,[...],,[...] 
,,30 XI 1966,Cdf,77429,,39837,,37592,,3.4,,[...],,[...],,[...],,[...] 
,,30 XI 1976,Cdf,90085,,46036,,44049,,1.5,,[...],,[...],,[...],,[...] 
,,28 XI 1986,Cdf,94649,,47611,,47038,,0.5,,29018,,30.7,,65631,,69.3
,Tuvalu,,,,,,,,,,,,,,,,,
,,8 XII 1973,Cdf,5887,,[...],,[...],,[...],,[...],,[...],,[...],,[...] 
,,27 V 1979,Cdf,7300,,[...],,[...],,3.6,,[...],,[...],,[...],,[...] 
,,17 IX 1991,Cdf,9043,,4376,,4667,,1.8,,[...],,[...],,[...],,[...] 
,Vanuatu,,,,,,,,,,,,,,,,,
,,28 V 1967,Cdf,77988,,41368,,36620,,[...],,10302,,13.2,,67686,,86.8
,,15 I 1979,Cdf,111251,,59074,,52177,,3,,19781,,17.8,,91470,,82.2
,,16 V 1989,Cdf,142944,,73674,,69270,,2.5,,26294,,18.4,,116650,,81.6
,Wallis and Futuna Islands - Iles Wallis et Futuna,,,,,,,,,,,,,,,,,
,,III 1969,Cdf,8546,,4175,,4371,,[...],,[...],,[...],,[...],,[...] 
,,26 III 1976,Cdf,9192,,4598,,4594,,1,,[...],,[...],,[...],,[...] 
,,15 II 1983,Cdf,12408,,6266,,6142,,4.3,,[...],,[...],,[...],,[...] 
,,1990,Cdf,13705,,[...],,[...],,1.4,,[...],,[...],,[...],,[...] 
FORMER USSR - ANCIENNE URSS,,,,,,,,,,,,,,,,,,
,Former USSR - Ancienne URSS,,,,,,,,,,,,,,,,,
,,15 I 1959,Cdf,208826650,,94050303,,114776347,,[...],,99977695,,47.9,,108848955,,52.1
,,15 I 1970,Cdf,241720134,,111399377,,130320757,,1.3,,135991514,,56.3,,105728620,,43.7
,,17 I 1979,Cdf,262436227,,122328833,,140107394,,0.9,,163585944,,62.3,,98850283,,37.7
,,12 I 1989,Cdf,286730817,,135360790,,151370027,,0.9,,[...],,[...],,[...],,[...] 


GENERAL NOTES - NOTES GENERALES,,,,,,,,,,,,,,,,,,
"Rates are the average annual percentage increase from data of last previous census, calculated by the compound interest formula. Urban and rural percentages are the population defined as urban or rural per 100 total population. For method of evaluation and limitations of data, see Technical Notes for this table. - Les taux représentent le pourcentage d'accroissement annuel depuis le dernier recensement, obtenu en appliquant la formule des intérêts composés. Les pourcentages urbains et ruraux représentent le nombre de personnes définies comme vivant dans des zones urbaines ou rurales pour 100 personnes de la population totale. Pour la méthode d'évaluation et les insuffisances des données, voir Notes techniques pour ce tableau.",,,,,,,,,,,,,,,,,,
...  Data not available - Données non disponibles,,,,,,,,,,,,,,,,,,

FOOTNOTES - NOTES,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,
[a] Source of data - Source des données:
"Cdf: Census, complete tabulation: de facto. - Recensement, tabulation complète: de facto."
"Cdj: Census, complete tabulation: de jure. - Recensement, tabulation complète: de jure."
"cdf: Census, sample tabulation: de facto. - Recensement, tabulation échantillonaire: de facto."
"cdj: Census, sample tabulation: de jure. - Recensement, tabulation échantillonaire: de jure."
Sdf: Sample survey: de facto. - Enquête par sondage: de facto.
Sdj: Sample survey: de jure. - Enquête par sondage: de jure.
"[b] For total population. Rates are not computed between censuses covering less than total population, or where intercensal comparability in type of census, geographical area, or ethnic coverage appears to be lacking. - Pour la population totale. Il n'a pas été calculé de taux entre les recensements ayant porté sur une partie de la population seulement ou lorsqu'il semblait y avoir un défaut de comparabilité d'un recensement à l'autre dû à la nature du recensement, ou à sa portée géographique ou éthnique."
"[1] For 1971 excluding 24 012 residents absent for less than one year and nomad population estimated at 10 550 at 1971 census. - Pour 1971, non compris 24 012 résidents hors du pays pour une période inférieur à un an et les nomades estimés à 10 550 au recensement de 1971."
"[2] For 1964, including an estimated 14150 nomads. - Pour 1964, y compris 14150 nomades (estimation)."
"[3] For 1965, estimate based on results of a 10 per cent sample of households in the urban commune of Bujumbura (population 71 000) and a 2 per cent sample of population in rural areas. - Pour 1965, estimation fondée sur les résultats d'un sondage ayant porté sur 10 p. 100 des ménages de la commune urbaine de Bujumbura (71 000 habitants) et sur 2 p. 100 de la population des zones rurales."
"[4] For 1976, data exclude adjustment for underenumeration, estimated at 7.4151 per cent. - Pour 1976, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 7,4151 p.100."
"[5] Beginning 1980, excluding an estimated figure of 50740 persons for the Island of Mayotte, not covered by census. - A partir de 1980, non compris un chiffre estimé à 50740 pour l'île de Mayotte, non couverte par le recensement."
"[6] For 1948, excluding non-African armed forces, 4137 persons in transit and 188 Polish refugees in camps; including an estimate of 219000 for population of Northern Frontier Provinces and parts of Rift Valley only partially covered by census. - Pour 1948, non compris les militaires non africains, 4137 personnes de passage et 188 réfugiés polonais vivant dans des camps; y compris 219000 (estimation) habitants des Provinces de la Frontière du Nord et de certaines parties de la vallée du Rift qui n'ont été que partiellement recensées."
"[7] For 1956 and 1966, excluding absentee workers who, at the time of the 1966 census, represented 12 per cent of the total. - Pour 1956 et 1966. non compris les travailleurs absents, soit 12 p. 100 de la population totale lors du recensement de 1966."
"[8] For 1966, estimate based on results of a sample survey in 77 selected cantons (out of total of approximately 650) having an average population of 6000-8000 inhabitants. - Pour 1966, estimation fondée sur le résultats d'une enquête par sondage dans 77 cantons spécialement choisis (sur un total d'environ 650) ayant en moyenne 6000 á 8000 habitants."
"[9] For 1960, based on unadjusted results of sample survey. Excluding nomad population and population in the Zone controlled by Niger Office, not covered by survey. - Pour 1960, d'après les résultats non ajustés de l'enquête par sondage. Non compris la population nomade ni la population de la zone relevant de l'Office du Niger, sur qui l'enquête n'a pas porté."
"[10] For 1977, including nomads, estimated at 224 095. - Pour 1977, y compris les nomades, estimées à 224 095."
"[11] For 1964, estimate for de jure population, based on results of sample survey covering 10 per cent of the population in 365 settled rural villages, and nomad population surveyed on a variable basis (5 to 50 per cent). Including estimates of 20 000 for nomad subdivisions of Tichitt and Boghe, and of 70000 for 27 urban centres enumerated in 1861-1962, not covered by survey. - Pour 1964, estimation de la population de droit fondée sur les résultats d'une enquête par sondage ayant porté sur 10 p. 100 de la population de 365 villages ruraux (population sédentaire) et sur une fraction variable de la population nomade (5 à 50 p. 100). Y compris une estimation de 20 000 pour les subdivisions nomades de Tichitt et de Boghe, et de 70 000 pour 27 centres urbains dénombrés en 1961-1962 ; sur qui l'enquête n'a pas portée."
"[12] For 1980, data exclude adjustment for underenumeration, estimated at 3.8 per cent. - Pour 1980, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 3,8 p.100."
"[13] For 1959, based on results of sample survey; data exclude population of Niamey city (numbering 30 030 at census of April 1959) and also an estimate of 234 300 persons for the cercle of Agadès, the nomad sub-division Tahoua and the Northern part of the cercles of Maradi, Goura, Zinder and n'Guigmi, not covered by survey. - Pour 1959, fondées sur les résultats d'une enquête par sondage; non compris la population de la ville de Niamey (30 030 habitants au recensement d'avril 1959), le cercle d'Agadès, la subdivision nomade de Tahoué et la partie nord des cercles de Maradi, Gouré, Zinder et n'Guigmi, qui comptent ensemble 234 300 habitants (estimations), sur qui l'enquête n'a pas porté."
"[14] For 1963, census believed to be overenumerated. - Pour 1963, recensement où l'on pense qu'il y a eu sur-dénombrement."
"[15] For 1970, estimated based on results of sample survey of population covering 100 000 persons. - Pour 1970, estimation fondée sur les résultats d'une enquête par sondage qui a porté sur 100-000 personnes."
[16] Data exclude adjustment for underenumeration. - Les données n'ont pas été ajustées pour compenser les lacunes du dénombrement.
"[17] For 1980, excluding Bophuthatswana, Transkei and Venda. - Pour 1980, non compris Bophuthatswana, Transkei et Venda."
"[18] For 1985, excluding Bophuthatswana, Ciskei, Transkei and Venda. - Pour 1985, non compris Bophuthatswana, Ciskei, Transkei et Venda."
"[19] For 1956, based on results of sample survey covering 1883380 persons, comprising 10 per cent of rural and nomadic population and 100 per cent of that in 68 towns. - Pour 1956, d'après les résultats d'une enquête par sondage qui a porté sur 1883380 personnes, soit 10 p. 100 de la population rurale et nomade et 100 p. 100 de la population de 68 villes."
"[20] For 1966, excluding adjustment for underenumeration, estimated at 4.0 per cent. - Pour 1966, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 4,0 p. 100."
"[21] For 1956, excluding Algerian refugees temporarily in the country. - Pour 1956, non compris les réfugiés algériens temporairement dans les pays."
"[22] For 1954, estimate based on results of a sample survey covering approximately 20 per cent of households. - Pour 1954, estimation fondée sur les résultats d'une enquête par sondage ayant porté sur 20 p. 100 environ des ménages."
"[23] For 1963, excluding adjustment for underenumeration, estimated at 3.2 per cent. - Pour 1963, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 3,2 p. 100."
"[24] For 1950, excluding diplomatic personnel stationed outside country numbering 84. Also excluding adjustment for underenumeration, estimated at 8.3 per cent. - Pour 1950, non compris le personnel diplomatique en poste hors du pays au nombre de 84. Les données n'ont pas été ajustées pour compenser lacunes dénombrement, estimées à 8,3 p. 100."
"[25] For 1953, estimate based on results of a sample survey covering approximately 5 per cent of households in Kingston Metropolitan area and 10 per cent of households in rural area. - Pour 1953, estimation fondée sur les résultats d'une enquête par sondage qui a porté sur environ 5 p. 100 des ménages de la zone métropolitaine de Kingston et 10 p. 100 des ménages des zones rurales."
"[26] For 1960 and 1971, including Aruba. - Pour 1960 et 1971, y compris Aruba."
"[27] Prior to 1980, excluding the former Canal Zone, shown separately hereunder. Prior to 1966, excluding tribal Indian population, numbering 48 654 in 1950 and 62 187 (29 889 males and 32 298 females) in 1960. - Pour les années antérieures à 1980, non compris l'ancienne Zone du Canal, qui fait l'objet d'une rubrique distincte, ci-dessous.Non compris l'ancienne Zone du Canal, qui fait l'objet d'une rubrique distincte, ci-dessous. Pour les années antérieures à 1966, non compris les Indiens vivant en tribus, au nombre de 48 654 en 1950 et de 62 187 (29 889 du sexe masculin et 32 298 du sexe féminin) en 1960."
[28] Including armed forces stationed in the area. - Y compris les militaires en garnison sur le territoire.
"[29] For 1960, including Anguilla. - Pour 1960, y compris Anguilla."
"[30] For 1960, data exclude adjustment for underenumeration: adjusted total is 87 350. - Pour 1960, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement; le total ajusté est de 87 350."
"[31] For 1970, data exclude adjustment for underenumeration, estimated at 7.24 per cent. - Pour 1970, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 7,24 p. 100."
"[32] Excluding armed forces overseas and civilian citizens absent from country for an extended period of time. - Non compris les militaires à l'étranger, et les civils hors du pays pendant une période prolongée."
"[33] For 1970, data exclude adjustment for underenumeration, estimated at 4.4 per cent. - Pour 1970, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 4,4 p. 100."
"[34] For 1980, data exclude adjustment for underenumeration, estimated at one per cent. - Pour 1980, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 1 p. 100."
"[35] For 1950, data exclude adjustment for underenumeration, estimated at 8.4 per cent; also excludes as estimate of 87 000 for Indian jungle population. - Pour 1950, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 8,4 p. 100; non compris également les Indiens de la jungle, estimés à 87 000."
"[36] For 1976, data exclude adjustment for underenumeration, estimated at 6.99 per cent. - Pour 1976, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 6,99 p. 100."
[37] Excluding Indian jungle population. - Non compris les Indiens de la jungle.
"[38] Data exclude adjustment for underenumeration estimated at 5.8 per cent in 1952, 5.4 per cent in 1960, and 4.8 in 1970. - Les données n'ont pas été ajustées pour compenser les lacunes du dénombrement estimées à 5,8 p. 100 en 1952, 5,4 p. 100 en 1960, en 4,8 p. 100 en 1970."
"[39] For 1951, excluding adjustment for underenumeration, estimated at 191 683; also excluding indigenous population numbering 127 980. - Pour 1951, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 191 683 personnes ; non compris également la population indigène, au nombre de 127 980."
[40] Excluding nomadic Indian tribes. - Non compris les tribus d'Indiens nomades.
"[41] For 1982, data exclude adjustment for underenumeration, estimated at 5.6 per cent. - Pour 1982, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement, estimées à 5,6 p. 100."
"[42] Excluding dependencies, of which South Georgia had an estimated population of 499 in 1964 (494 males, 5 females). - Non compris les dépendances; la population de la Géorgie du Sud était estimée à 499 en 1964 (494 du sexe masculin et 5 du sexe féminin)."
"[43] For 1950 and 1962, excluding adjustment for underenumeration; also excluding Indian jungle population. - Pour 1950 et 1962, les données n'ont pas été ajustées pour compenser les lacunes du dénombrement; non compris également les Indiens de la jungle."
"[44] Prior to 1971, excluding Indian and Negro population living in tribes, numbering 32 006 at 1964 census. - Pour les années antérieures à 1971, non compris les Indiens et les Noirs vivant en tribus, au nombre de 32 006 au recensement de 1964."
