"United Nations: Demographic Yearbook, Historical supplement - Nations Unies: Annuaire démographique, supplément rétrospectif",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"3. Population by age, sex, and urban/rural residence, each census: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population selon l'âge, le sexe et la résidence, urbaine/rurale, chaque recensement: 1948-1997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

(See notes at end of table. - Voir notes à la fin du tableau.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, country or area,",,,,,Source[a],Code[b],Age (in years) - Age (en années),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"residence, sex and date",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Continent, pays ou zone,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"résidence, sexe et date",,,,,,,All ages, -1,, 1-4,, 5-9,, 10-14,, 15-19,, 20-24,, 25-29,, 30-34,, 35-39,, 40-44,, 45-49,, 50-54,, 55-59,, 60-64,, 65-69,, 70-74,, 75-79,, 80-84,, 85-89,, 90-94,, 95-99,, 100+,,Unknown
,,,,15 II 1992,Cdf,C,3159358,110037,,519155,,621463,,342113,,252504,,215974,,226720,,179866,,152732,,114743,,87401,,78548,,45582,,63572,,34861,,41799,,18633,,24178,,8285,,8269,,11406,[=>],[95+],,1517
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VIII 1975,Edf,U,1319000,70000,,193000,,232000,,135000,,88000,,79000,,91000,,73000,,82000,,58000,,55000,,39000,,36000,,29000,,29000,,14000,,16000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,20 III 1979,Cdf,C,964669,47257,,174992,,196674,,100480,,57915,,47454,,56473,,45897,,42726,,31739,,31067,,26303,,19949,,22011,,16063,,15261,,9622,,22266,[=>],[80+],,[80+],,[80+],,[80+],,520
,,,,1 VII 1987,Edf,U,1385000,283000,[=>],[0-4],,235000,,178000,,135000,,100000,,81000,,67000,,62000,,58000,,50000,,40000,,32000,,25000,,18000,,11000,,10000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,15 II 1992,Cdf,C,1533145,55149,,261125,,325715,,191139,,123389,,84408,,89232,,77119,,67365,,52685,,40824,,36568,,21982,,29407,,16920,,21788,,10001,,12401,,4466,,4626,,6186,[=>],[95+],,650
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1 VIII 1975,Edf,U,1374000,74000,,193000,,215000,,114000,,97000,,127000,,125000,,93000,,81000,,61000,,52000,,40000,,33000,,26000,,20000,,9000,,14000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,20 III 1979,Cdf,C,1052831,48479,,174193,,175291,,77035,,72792,,94300,,92924,,63238,,53969,,39508,,35275,,28699,,19390,,22203,,14319,,13294,,7962,,18926,[=>],[80+],,[80+],,[80+],,[80+],,1034
,,,,1 VII 1987,Edf,U,1533000,279000,[=>],[0-4],,241000,,193000,,153000,,124000,,104000,,85000,,75000,,65000,,55000,,46000,,37000,,29000,,22000,,14000,,11000,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,,15 II 1992,Cdf,C,1626213,54888,,258030,,295748,,150974,,129115,,131566,,137488,,102747,,85367,,62058,,46577,,41980,,23600,,34165,,17941,,20011,,8632,,11777,,3819,,3643,,5220,[=>],[95+],,867
,"Botswana [2], [3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15 I 1964,,Cdj,C,528955,8997,,69616,,87443,,64887,,51042,,40115,,38478,,29172,,30246,,21701,,21589,,16451,,13288,,11335,,8172,,4894,,4205,,2320,,3468,[=>],[85+],,[85+],,[85+],,1536
,,,1 VII 1967,,Edf,U,593000,21906,,79300,,82942,,69432,,59161,,50933,,43714,,37393,,31671,,26535,,21902,,17988,,14504,,11605,,8800,,6268,,4302,,2689,,1955,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1968,,Edf,U,611000,22571,,81707,,85460,,71540,,60957,,52479,,45041,,38528,,32632,,27341,,22567,,18532,,14944,,11957,,9068,,6458,,4433,,2771,,2014,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1970,,Edf,U,648217,23955,,86683,,90665,,75896,,64670,,55674,,47784,,40874,,34619,,29005,,23941,,19663,,15854,,12685,,9619,,6851,,4703,,2940,,2136,[=>],[85+],,[85+],,[85+],,-
,,,31 VIII 1971,,Cdf,C,574094,18145,,80028,,91036,,75321,,55305,,37756,,31428,,27007,,24988,,21535,,21469,,16431,,13712,,11372,,10073,,7472,,4958,,3411,,5144,[=>],[85+],,[85+],,[85+],,17503
,,,1 VII 1978,,Edf,U,805390,144000,[=>],[0-4],,120000,,98000,,81000,,66000,,56000,,47000,,40000,,34000,,29000,,23000,,19000,,48390,[=>],[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,-
,,,1 VII 1980,,Edf,U,805000,144000,[=>],[0-4],,120000,,98000,,81000,,66000,,56000,,47000,,40000,,34000,,29000,,23000,,19000,,48000,[=>],[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,-
,,,12 VIII 1981,,Cdf,C,941027,42702,,129451,,148954,,119727,,92457,,78385,,62573,,46144,,37444,,33689,,29217,,24216,,21917,,17121,,14389,,9489,,7684,,5258,,11113,[=>],[85+],,[85+],,[85+],,9097
,,,1 VII 1982,,Edf,U,976380,189510,[=>],[0-4],,155470,,125560,,99980,,79690,,65680,,50890,,40070,,34530,,30040,,25620,,22000,,18140,,14160,,9710,,7460,,7870,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1983,,Edf,U,1013400,196850,[=>],[0-4],,160740,,131060,,104240,,82310,,68770,,54420,,42240,,35480,,30860,,26380,,22440,,18480,,14370,,10000,,7170,,7590,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,19 VIII 1984,,Edf,U,1051201,44616,,159693,,166014,,136698,,108591,,84948,,71953,,58239,,44470,,36400,,31650,,27132,,22873,,18820,,14580,,24524,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,-
,,,19 VIII 1986,,Edf,U,1127888,227122,[=>],[0-4],,178467,,137525,,117843,,96861,,77226,,62306,,48916,,38601,,32579,,27646,,23450,,18874,,14990,,10322,,15160,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,19 VIII 1987,,Edf,U,1169197,233274,[=>],[0-4],,186178,,144938,,121548,,100570,,80583,,64926,,51277,,40316,,33497,,28280,,23904,,19296,,15193,,10557,,14860,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,19 VIII 1989,,Edf,U,1255749,251876,[=>],[0-4],,198638,,153538,,131694,,108101,,86310,,69384,,54157,,42802,,36470,,30793,,26423,,20747,,16375,,11355,,17086,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,19 VIII 1990,,Edf,U,1300999,252508,[=>],[0-4],,211168,,167983,,133271,,112551,,91533,,73431,,59019,,45895,,36375,,30247,,25294,,20603,,15806,,11293,,14022,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1991,,Edf,U,1334647,248930,[=>],[0-4],,217250,,176439,,137316,,116787,,95452,,76418,,61806,,47887,,37360,,30908,,25756,,21044,,16005,,11545,,13744,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,21 VIII 1991,,Cdf,C,1326796,41972,,151693,,196614,,183483,,152525,,116883,,99848,,80633,,66228,,48198,,39049,,33711,,27749,,22756,,19843,,14729,,10241,,6244,,4611,,9786,[=>],[90+],,[90+],,-
,,,1 VII 1996,,Edf,U,1495993,216929,[=>],[0-4],,191300,,195551,,176251,,149215,,121090,,97179,,80378,,63459,,49518,,38562,,31485,,25634,,20429,,15405,,10438,,13170,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1997,,Edf,U,1533393,48262,,174085,,194088,,195552,,180701,,154437,,126042,,460226,[=>],[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,-
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15 I 1964,,Cdj,C,257460,4365,,34291,,43536,,33084,,25300,,18155,,17773,,13387,,14428,,10239,,11057,,8320,,6787,,5755,,3945,,2214,,1837,,916,,1278,[=>],[85+],,[85+],,[85+],,793
,,,1 VII 1967,,Edf,U,288838,10658,,38591,,40356,,33623,,28489,,24259,,20753,,18027,,15429,,13197,,11177,,9259,,7475,,5924,,4466,,3125,,2037,,1277,,716,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1968,,Edf,U,297605,10982,,39762,,41581,,34644,,29354,,24995,,21383,,18574,,15897,,13598,,11516,,9538,,7702,,6104,,4602,,3220,,2099,,1316,,738,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1970,,Edf,U,315726,11650,,42184,,44113,,36753,,31142,,26517,,22685,,19705,,16865,,14425,,12217,,10121,,8171,,6475,,4882,,3416,,2227,,1396,,782,[=>],[85+],,[85+],,[85+],,-
,,,31 VIII 1971,,Cdf,C,262121,8871,,39422,,45207,,37033,,24467,,13313,,11862,,10997,,10264,,9519,,9644,,7936,,6417,,5282,,4657,,3518,,2230,,1366,,2025,[=>],[85+],,[85+],,[85+],,8091
,,,1 VII 1978,,Edf,U,390000,72000,[=>],[0-4],,60000,,48000,,40000,,33000,,26000,,22000,,19000,,16000,,14000,,11000,,8000,,21000,[=>],[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,-
,,,1 VII 1980,,Edf,U,390000,72000,[=>],[0-4],,60000,,48000,,40000,,33000,,26000,,22000,,19000,,16000,,14000,,11000,,8000,,21000,[=>],[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,-
,,,12 VIII 1981,,Cdf,C,443104,21413,,64656,,74301,,58709,,42972,,32646,,26498,,20327,,16826,,15600,,13575,,11424,,10090,,8477,,6769,,4487,,3551,,2327,,4086,[=>],[85+],,[85+],,[85+],,4370
,,,1 VII 1982,,Edf,U,460960,94610,[=>],[0-4],,77520,,61600,,46970,,33650,,27720,,22600,,18190,,15950,,14010,,11920,,10330,,8660,,6790,,4600,,3440,,2400,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1983,,Edf,U,479690,98110,[=>],[0-4],,80100,,64560,,49350,,35140,,29190,,24290,,19270,,16410,,14390,,12300,,10510,,8750,,6890,,4710,,3290,,2430,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,19 VIII 1984,,Edf,U,498937,22191,,79461,,82680,,67612,,51799,,36674,,30717,,26172,,20390,,16853,,14754,,12679,,10686,,8840,,6987,,10442,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,-
,,,19 VIII 1986,,Edf,U,536873,113540,[=>],[0-4],,89037,,68646,,57834,,44893,,33594,,26549,,21456,,17439,,14918,,12687,,10682,,8624,,6702,,4533,,5739,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,19 VIII 1987,,Edf,U,557768,116651,[=>],[0-4],,92911,,72499,,59922,,47183,,35490,,27797,,22386,,18121,,15297,,12942,,10865,,8756,,6755,,4581,,5612,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,19 VIII 1989,,Edf,U,597703,125915,[=>],[0-4],,99100,,76639,,64632,,50102,,37546,,29565,,23755,,19337,,16700,,14131,,12036,,9480,,7321,,4987,,6457,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,19 VIII 1990,,Edf,U,624016,126370,[=>],[0-4],,105462,,83796,,66580,,54721,,41799,,31894,,25398,,20309,,16474,,13724,,11422,,9154,,6907,,4721,,5285,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1991,,Edf,U,640610,124405,[=>],[0-4],,108465,,87950,,68867,,57412,,44081,,33311,,26453,,21066,,16864,,13976,,11598,,9278,,6949,,4762,,5173,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,21 VIII 1991,,Cdf,C,634400,20880,,75796,,97563,,89887,,73112,,54261,,45408,,36620,,30487,,23197,,18553,,16192,,12746,,10485,,8688,,6857,,4633,,2683,,1855,,4497,[=>],[90+],,[90+],,-
,,,1 VII 1996,,Edf,U,720207,108952,[=>],[0-4],,95420,,97021,,86215,,71549,,56603,,44509,,36623,,29402,,23250,,18387,,14730,,11806,,9058,,6785,,4528,,5369,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1997,,Edf,U,739000,24293,,87436,,96943,,97164,,88679,,74368,,59200,,210917,[=>],[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,-
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15 I 1964,,Cdj,C,271495,4632,,35325,,43907,,31803,,25742,,21960,,20705,,15785,,15818,,11462,,10532,,8131,,6501,,5580,,4227,,2680,,2368,,1404,,2190,[=>],[85+],,[85+],,[85+],,743
,,,1 VII 1967,,Edf,U,304162,11248,,40709,,42586,,35809,,30672,,26674,,22961,,19366,,16242,,13338,,10725,,8729,,7029,,5681,,4334,,3143,,2265,,1412,,1239,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1968,,Edf,U,313395,11589,,41945,,43879,,36896,,31603,,27484,,23658,,19954,,16735,,13743,,11051,,8994,,7242,,5853,,4466,,3238,,2334,,1455,,1276,[=>],[85+],,[85+],,[85+],,-
,,,1 VII 1970,,Edf,U,332491,12305,,44499,,46552,,39143,,33528,,29157,,25099,,21169,,17754,,14580,,11724,,9542,,7683,,6210,,4737,,3435,,2476,,1544,,1354,[=>],[85+],,[85+],,[85+],,-
,,,31 VIII 1971,,Cdf,C,311973,9274,,40606,,45829,,38288,,30838,,24443,,19566,,16010,,14724,,12016,,11825,,8495,,7295,,6090,,5416,,3954,,2728,,2045,,3119,[=>],[85+],,[85+],,[85+],,9412
,,,1 VII 1978,,Edf,U,415000,71000,[=>],[0-4],,60000,,49000,,41000,,34000,,29000,,25000,,21000,,18000,,16000,,13000,,11000,,27000,[=>],[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,-
,,,1 VII 1980,,Edf,U,415000,71000,[=>],[0-4],,60000,,49000,,41000,,34000,,29000,,25000,,21000,,18000,,16000,,13000,,11000,,27000,[=>],[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,-
,,,12 VIII 1981,,Cdf,C,497923,21289,,64795,,74653,,61018,,49485,,45739,,36075,,25817,,20618,,18089,,15642,,12792,,11827,,8644,,7620,,5002,,4133,,2931,,7027,[=>],[85+],,[85+],,[85+],,4727
,,,1 VII 1982,,Edf,U,515420,94900,[=>],[0-4],,77950,,63960,,53010,,46040,,37960,,28290,,21880,,18580,,16030,,13700,,11670,,9480,,7370,,5110,,4020,,5470,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1983,,Edf,U,533710,98740,[=>],[0-4],,80640,,66500,,54890,,47170,,39580,,30130,,22970,,19070,,16470,,14080,,11930,,9730,,7480,,5290,,3880,,5160,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,19 VIII 1984,,Edf,U,552264,22425,,80232,,83334,,69086,,56792,,48274,,41236,,32067,,24080,,19547,,16896,,14453,,12187,,9980,,7593,,14082,[=>],[70+],,[70+],,[70+],,[70+],,[70+],,[70+],,-
,,,19 VIII 1986,,Edf,U,591015,113582,[=>],[0-4],,89430,,68879,,60009,,51968,,43632,,35757,,27460,,21162,,17661,,14959,,12768,,10250,,8288,,5789,,9421,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,19 VIII 1987,,Edf,U,611429,116623,[=>],[0-4],,93267,,72439,,61626,,53387,,45093,,37129,,28891,,22195,,18200,,15338,,13039,,10540,,8438,,5976,,9248,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,19 VIII 1989,,Edf,U,658046,125961,[=>],[0-4],,99538,,76899,,67062,,57999,,48764,,39819,,30402,,23465,,19770,,16662,,14387,,11267,,9054,,6368,,10629,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,19 VIII 1990,,Edf,U,676983,126138,[=>],[0-4],,105706,,84187,,66691,,57830,,49734,,41537,,33621,,25586,,19901,,16523,,13872,,11449,,8899,,6572,,8737,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,1 VII 1991,,Edf,U,694037,124525,[=>],[0-4],,108785,,88489,,68449,,59375,,51371,,43107,,35353,,26821,,20496,,16932,,14158,,11766,,9056,,6783,,8571,[=>],[75+],,[75+],,[75+],,[75+],,[75+],,-
,,,21 VIII 1991,,Cdf,C,692396,21092,,75897,,99051,,93596,,79413,,62622,,54440,,44013,,35741,,25001,,20496,,17519,,15003,,12271,,11155,,7872,,5608,,3561,,2756,,5289,[=>],[90+],,[90+],,-
,,,1 VII 1996,,Edf,U,775786,107977,[=>],[0-4],,95880,,98530,,90036,,77666,,64487,,52670,,43755,,34057,,26268,,20175,,16755,,13828,,11371,,8620,,5910,,7801,[=>],[80+],,[80+],,[80+],,[80+],,-
,,,1 VII 1997,,Edf,U,794000,23969,,86649,,97145,,98388,,92022,,80069,,66842,,248916,[=>],[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,[30+],,-
,,Urban - Urbaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15 I 1964,Cdj,C,17277,2570,[=>],[0-4],,2863,,2129,,1671,,1301,,1250,,947,,986,,707,,708,,540,,437,,371,,267,,159,,136,,74,,111,[=>],[85+],,[85+],,[85+],,50
,,,,31 VIII 1971,Cdf,C,57503,8612,[=>],[0-4],,6872,,5554,,6108,,6270,,5259,,4214,,3370,,2636,,2158,,1493,,950,,696,,454,,345,,190,,120,,184,[=>],[85+],,[85+],,[85+],,2018
,,,,12 VIII 1981,Cdf,C,150012,6183,,14642,,15764,,12598,,17622,,23026,,18205,,12295,,8587,,6559,,4520,,3004,,2250,,1420,,829,,469,,285,,217,,409,[=>],[85+],,[85+],,[85+],,1128
,,,,21 VIII 1991,Cdf,C,606239,18975,,59752,,74630,,68501,,71029,,71998,,62080,,48312,,37184,,24281,,17743,,13899,,10583,,7681,,6143,,4411,,3188,,1877,,1428,,2544,[=>],[90+],,[90+],,-
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15 I 1964,Cdj,C,9277,1393,[=>],[0-4],,1569,,1192,,912,,654,,640,,482,,520,,369,,398,,300,,245,,207,,142,,80,,66,,33,,46,[=>],[85+],,[85+],,[85+],,29
,,,,31 VIII 1971,Cdf,C,28003,4186,[=>],[0-4],,3220,,2223,,2409,,2759,,2614,,2271,,1863,,1588,,1268,,921,,569,,383,,243,,186,,92,,49,,71,[=>],[85+],,[85+],,[85+],,1088
,,,,12 VIII 1981,Cdf,C,77373,3085,,7181,,7363,,5308,,7583,,11777,,9877,,7026,,5097,,4057,,2889,,1950,,1381,,881,,465,,249,,145,,99,,190,[=>],[85+],,[85+],,[85+],,770
,,,,21 VIII 1991,Cdf,C,285340,9403,,29579,,35086,,29501,,30319,,33843,,29771,,23305,,18436,,12823,,9383,,7270,,5139,,3491,,2495,,1827,,1258,,732,,497,,1182,[=>],[90+],,[90+],,-
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15 I 1964,Cdj,C,8000,1177,[=>],[0-4],,1294,,937,,759,,647,,610,,465,,466,,338,,310,,240,,192,,164,,125,,79,,70,,41,,65,[=>],[85+],,[85+],,[85+],,21
,,,,31 VIII 1971,Cdf,C,29500,4426,[=>],[0-4],,3652,,3331,,3699,,3511,,2645,,1943,,1507,,1048,,890,,572,,381,,313,,211,,159,,98,,71,,113,[=>],[85+],,[85+],,[85+],,930
,,,,12 VIII 1981,Cdf,C,72639,3098,,7461,,8401,,7290,,10039,,11249,,8328,,5269,,3490,,2502,,1631,,1054,,869,,539,,364,,220,,140,,118,,219,[=>],[85+],,[85+],,[85+],,358
,,,,21 VIII 1991,Cdf,C,320899,9572,,30173,,39544,,39000,,40710,,38155,,32309,,25007,,18748,,11458,,8360,,6629,,5444,,4190,,3648,,2584,,1930,,1145,,931,,1362,[=>],[90+],,[90+],,-
,,Rural - Rurale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15 I 1964,Cdj,C,525828,78146,[=>],[0-4],,86921,,64496,,50738,,39885,,38255,,29003,,30069,,21574,,21458,,16352,,13208,,11267,,8124,,4866,,4181,,2307,,3449,[=>],[85+],,[85+],,[85+],,1529
,,,,31 VIII 1971,Cdf,C,516591,89561,[=>],[0-4],,84164,,69767,,49197,,31486,,26169,,22793,,21618,,18899,,19311,,14938,,12762,,10676,,9619,,7127,,4768,,3291,,4960,[=>],[85+],,[85+],,[85+],,15485
,,,,12 VIII 1981,Cdf,C,791015,36519,,114809,,133190,,107129,,74835,,55359,,44368,,33849,,28857,,27130,,24697,,21212,,19667,,15701,,13560,,9020,,7399,,5041,,10704,[=>],[85+],,[85+],,[85+],,7969
,,,,21 VIII 1991,Cdf,C,720557,22997,,91941,,121984,,114982,,81496,,44885,,37768,,32321,,29044,,23917,,21306,,19812,,17166,,15075,,13700,,10318,,7053,,4367,,3183,,7242,[=>],[90+],,[90+],,-
,,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15 I 1964,Cdj,C,255258,38325,[=>],[0-4],,43164,,32801,,25084,,18000,,17621,,13272,,14305,,10151,,10962,,8249,,6729,,5706,,3911,,2195,,1821,,908,,1267,[=>],[85+],,[85+],,[85+],,787
,,,,31 VIII 1971,Cdf,C,234118,44107,[=>],[0-4],,41987,,34810,,22058,,10554,,9248,,8726,,8401,,7931,,8376,,7015,,5848,,4899,,4414,,3332,,2138,,1317,,1954,[=>],[85+],,[85+],,[85+],,7003
,,,,12 VIII 1981,Cdf,C,365731,18328,,57475,,66938,,53401,,35389,,20869,,16621,,13301,,11729,,11543,,10686,,9474,,8709,,7596,,6304,,4238,,3416,,2228,,3886,[=>],[85+],,[85+],,[85+],,3600
,,,,21 VIII 1991,Cdf,C,349060,11477,,46217,,62477,,60386,,42793,,20418,,15637,,13315,,12051,,10374,,9170,,8922,,7607,,6994,,6193,,5030,,3375,,1951,,1358,,3315,[=>],[90+],,[90+],,-
,,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15 I 1964,Cdj,C,270570,39821,[=>],[0-4],,43757,,31695,,25654,,21885,,20634,,15731,,15764,,11423,,10496,,8103,,6479,,5561,,4213,,2671,,2360,,1399,,2182,[=>],[85+],,[85+],,[85+],,742
,,,,31 VIII 1971,Cdf,C,282473,45454,[=>],[0-4],,42177,,34957,,27139,,20932,,16921,,14067,,13217,,10968,,10935,,7923,,6914,,5777,,5205,,3795,,2630,,1974,,3006,[=>],[85+],,[85+],,[85+],,8482
,,,,12 VIII 1981,Cdf,C,425284,18191,,57334,,66252,,53728,,39446,,34490,,27747,,20548,,17128,,15587,,14011,,11738,,10958,,8105,,7256,,4782,,3983,,2813,,6818,[=>],[85+],,[85+],,[85+],,4369
,,,,21 VIII 1991,Cdf,C,371497,11520,,45724,,59507,,54596,,38703,,24467,,22131,,19006,,16993,,13543,,12136,,10890,,9559,,8081,,7507,,5288,,3678,,2416,,1825,,3927,[=>],[90+],,[90+],,-
,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,30 IX 1960,,Sdf,C,4300000,180600,,580500,,653600,,374100,,335400,,356900,,374100,,283800,,296700,,202100,,197800,,124700,,111800,,86000,,68800,,38700,,21500,,8600,,4300,[=>],[85+],,[85+],,[85+],,-
,,,7 XII 1975,,Cdf,C,5638203,160236,,815788,,929353,,649829,,544081,,410807,,419920,,336327,,286641,,244810,,195456,,184174,,121176,,119441,,61803,,65995,,32245,,21708,,30014,[=>],[85+],,[85+],,[85+],,8399
,,,10 XII 1985,,Cdf,C,7964705,335481,,1126597,,1445002,,937915,,773197,,578348,,512309,,398111,,368692,,299450,,272614,,228864,,187671,,171476,,118689,,86538,,45588,,68288,[=>],[80+],,[80+],,[80+],,[80+],,9875
,,,30 VI 1991,,Edf,U,9190791,285640,,1307084,,1687532,,1220940,,884143,,610806,,551108,,451047,,394094,,343320,,278304,,240001,,269129,,544254,[=>],[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,123389
,,Male - Masculin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,30 IX 1960,,Sdf,C,2158600,90300,,305300,,348300,,215000,,176300,,150500,,167700,,124700,,137600,,98900,,98900,,64500,,55900,,43000,,38700,,21500,,12900,,4300,,4300,[=>],[85+],,[85+],,[85+],,-
,,,7 XII 1975,,Cdf,C,2827578,80626,,416747,,484646,,350375,,281434,,187295,,182154,,150809,,136708,,115071,,99059,,93120,,67244,,63018,,34087,,35482,,17636,,10903,,16935,[=>],[85+],,[85+],,[85+],,4229
,,,10 XII 1985,,Cdf,C,3833237,167666,,564658,,728007,,484628,,392298,,258340,,212115,,170581,,162610,,130811,,127493,,106999,,93286,,80447,,60533,,39183,,21654,,27253,[=>],[80+],,[80+],,[80+],,[80+],,4675
,,,30 VI 1991,,Edf,U,4492153,144800,,651293,,849637,,630542,,483143,,304627,,228221,,180292,,163644,,143680,,126218,,127115,,114336,,303508,[=>],[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,[60+],,41097
,,Female - Féminin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,30 IX 1960,,Sdf,C,2141400,90300,,275200,,305300,,159100,,159100,,206400,,206400,,159100,,159100,,103200,,98900,,60200,,55900,,43000,,30100,,17200,,8600,,4300,,-,,[85+],,[85+],,[85+],,-
,,,7 XII 1975,,Cdf,C,2810625,79610,,399041,,444707,,299454,,262647,,223512,,237766,,185518,,149933,,129739,,96397,,91054,,53932,,56423,,27716,,30513,,14609,,10805,,13079,[=>],[85+],,[85+],,[85+],,4170
,,,10 XII 1985,,Cdf,C,4131468,167815,,561939,,716995,,453287,,380899,,320008,,300194,,227530,,206082,,168639,,145121,,121865,,94385,,91029,,58156,,47355,,23934,,41035,[=>],[80+],,[80+],,[80+],,[80+],,5200
